# t (s), T_Al (K), flux_Al (nm^-2.s^-1), z (nm), x
1.700554960274154936e+01,1.335794967472237431e+03,8.961941986286691142e-01,3.789171542078413779e+00,1.000000000000000000e+00
1.750571282635159776e+01,1.335649146336575768e+03,8.934130472910961629e-01,3.899473832712416321e+00,1.000000000000000000e+00
1.800587604996164259e+01,1.335503361621559634e+03,8.906406084788042188e-01,4.009713211533965982e+00,1.000000000000000000e+00
1.850603927357168743e+01,1.335357611930820667e+03,8.878768284620564000e-01,4.119889875327710449e+00,1.000000000000000000e+00
1.900620249718173227e+01,1.335211896813239491e+03,8.851216717476728668e-01,4.230004019867567244e+00,1.000000000000000000e+00
1.950636572079178066e+01,1.335066217030946291e+03,8.823751258646792550e-01,4.340055840384111185e+00,1.000000000000000000e+00
2.000652894440182550e+01,1.334920571049562341e+03,8.796371351494993718e-01,4.450045531336076721e+00,1.000000000000000000e+00
2.050669216801187034e+01,1.334774958269970057e+03,8.769076618596822748e-01,4.559973286124085590e+00,1.000000000000000000e+00
2.100685539162191517e+01,1.334629378920709996e+03,8.741866839105947307e-01,4.669839297471027884e+00,1.000000000000000000e+00
2.150701861523196001e+01,1.334483832529858546e+03,8.714741662133329569e-01,4.779643757452125996e+00,1.000000000000000000e+00
2.200718183884200840e+01,1.334338317986255333e+03,8.687700619989430217e-01,4.889386857215305859e+00,1.000000000000000000e+00
2.250734506245205324e+01,1.334192835080736131e+03,8.660743415054559247e-01,4.999068787041537121e+00,1.000000000000000000e+00
2.300750828606209808e+01,1.334047384209346319e+03,8.633869862598063660e-01,5.108689736665381176e+00,1.000000000000000000e+00
2.350767150967214292e+01,1.333901963847239813e+03,8.607079424457014794e-01,5.218249895002492700e+00,1.000000000000000000e+00
2.400783473328218776e+01,1.333756573562802942e+03,8.580371767019322471e-01,5.327749449980970553e+00,1.000000000000000000e+00
2.450799795689223615e+01,1.333611214059979829e+03,8.553746766048226924e-01,5.437188589010254702e+00,1.000000000000000000e+00
2.500816118050228098e+01,1.333465883871710730e+03,8.527203900645329293e-01,5.546567498768966153e+00,1.000000000000000000e+00
2.550832440411232582e+01,1.333320582445129730e+03,8.500742820007664013e-01,5.655886364948252698e+00,1.000000000000000000e+00
2.600848762772237066e+01,1.333175310186160232e+03,8.474363349092423059e-01,5.765145372643577737e+00,1.000000000000000000e+00
2.650865085133241905e+01,1.333030066210249743e+03,8.448065079429196711e-01,5.874344706289392093e+00,1.000000000000000000e+00
2.700881407494246389e+01,1.332884849696074070e+03,8.421847616534288150e-01,5.983484549410547970e+00,1.000000000000000000e+00
2.750897729855250873e+01,1.332739660822927817e+03,8.395710748236221432e-01,6.092565084844672185e+00,1.000000000000000000e+00
2.800914052216255357e+01,1.332594499143442363e+03,8.369654150390952729e-01,6.201586494821846429e+00,1.000000000000000000e+00
2.850930374577259840e+01,1.332449363641546370e+03,8.343677398861549799e-01,6.310548960724489120e+00,1.000000000000000000e+00
2.900946696938264679e+01,1.332304254334205552e+03,8.317780256419580187e-01,6.419452663185815311e+00,1.000000000000000000e+00
2.950963019299269163e+01,1.332159171080143096e+03,8.291962458388699719e-01,6.528297782270473526e+00,1.000000000000000000e+00
3.000979341660273647e+01,1.332014112735115987e+03,8.266223563378625183e-01,6.637084497243273873e+00,1.000000000000000000e+00
3.050995664021278131e+01,1.331869079211101962e+03,8.240563319642991713e-01,6.745812986583830551e+00,1.000000000000000000e+00
3.101011986382282970e+01,1.331724070555795151e+03,8.214981500211616661e-01,6.854483428229462660e+00,1.000000000000000000e+00
3.151028308743287454e+01,1.331579085556352538e+03,8.189477657286647894e-01,6.963095999353098975e+00,1.000000000000000000e+00
3.201044631104291938e+01,1.331434124070265625e+03,8.164051533678532424e-01,7.071650876329052871e+00,1.000000000000000000e+00
3.251060953465296421e+01,1.331289186230805626e+03,8.138702921320248862e-01,7.180148235004588209e+00,1.000000000000000000e+00
3.301077275826300905e+01,1.331144270809219279e+03,8.113431375367300413e-01,7.288588250487340936e+00,1.000000000000000000e+00
3.351093598187305389e+01,1.330999377652296062e+03,8.088236640864416849e-01,7.396971097092205127e+00,1.000000000000000000e+00
3.401109920548309873e+01,1.330854506888973447e+03,8.063118512668493443e-01,7.505296948612868668e+00,1.000000000000000000e+00
3.451126242909315067e+01,1.330709657320517863e+03,8.038076556832171038e-01,7.613565978119051891e+00,1.000000000000000000e+00
3.501142565270319551e+01,1.330564828820206458e+03,8.013110526979936310e-01,7.721778357909790280e+00,1.000000000000000000e+00
3.551158887631324035e+01,1.330420021435970966e+03,7.988220207605797318e-01,7.829934259760899629e+00,1.000000000000000000e+00
3.601175209992328519e+01,1.330275234038391091e+03,7.963405182252217829e-01,7.938033854732297279e+00,1.000000000000000000e+00
3.651191532353333002e+01,1.330130466557940508e+03,7.938665218198794893e-01,8.046077313148501275e+00,1.000000000000000000e+00
3.701207854714337486e+01,1.329985718897879451e+03,7.914000078856858744e-01,8.154064804802393596e+00,1.000000000000000000e+00
3.751224177075341970e+01,1.329840990030873172e+03,7.889409370562898705e-01,8.261996498772894881e+00,1.000000000000000000e+00
3.801240499436346454e+01,1.329696279968941099e+03,7.864892878118441288e-01,8.369872563449199276e+00,1.000000000000000000e+00
3.851256821797350938e+01,1.329551588419774816e+03,7.840450335576372165e-01,8.477693166675454250e+00,1.000000000000000000e+00
3.901273144158356132e+01,1.329406914484494109e+03,7.816081376144484727e-01,8.585458475579033077e+00,1.000000000000000000e+00
3.951289466519360616e+01,1.329262258274770147e+03,7.791785804863211595e-01,8.693168656650943404e+00,1.000000000000000000e+00
4.001305788880365100e+01,1.329117619264364521e+03,7.767563320476856825e-01,8.800823875820077191e+00,1.000000000000000000e+00
4.051322111241369583e+01,1.328972996702936371e+03,7.743413585974677771e-01,8.908424298292290544e+00,1.000000000000000000e+00
4.101338433602374067e+01,1.328828390813781198e+03,7.719336428259341298e-01,9.015970088695581808e+00,1.000000000000000000e+00
4.151354755963378551e+01,1.328683800810678349e+03,7.695331507027878271e-01,9.123461411076361216e+00,1.000000000000000000e+00
4.201371078324383035e+01,1.328539226105739772e+03,7.671398516851103411e-01,9.230898428749545914e+00,1.000000000000000000e+00
4.251387400685387519e+01,1.328394667039839760e+03,7.647537307079336211e-01,9.338281304513401437e+00,1.000000000000000000e+00
4.301403723046392003e+01,1.328250122552807397e+03,7.623747496723974892e-01,9.445610200563946179e+00,1.000000000000000000e+00
4.351420045407397197e+01,1.328105592340840076e+03,7.600028831328237144e-01,9.552885278377356570e+00,1.000000000000000000e+00
4.401436367768401681e+01,1.327961076521098676e+03,7.576381126354713169e-01,9.660106698932509062e+00,1.000000000000000000e+00
4.451452690129406164e+01,1.327816574098692172e+03,7.552804016419505384e-01,9.767274622585325972e+00,1.000000000000000000e+00
4.501469012490410648e+01,1.327672084991828797e+03,7.529297286905264341e-01,9.874389209034692527e+00,1.000000000000000000e+00
4.551485334851415132e+01,1.327527608938818275e+03,7.505860694753677675e-01,9.981450617461035790e+00,1.000000000000000000e+00
4.601501657212419616e+01,1.327383145168964347e+03,7.482493915729057088e-01,1.008845900640214310e+01,1.000000000000000000e+00
4.651517979573424100e+01,1.327238693759162288e+03,7.459196764079026876e-01,1.019541453381808083e+01,1.000000000000000000e+00
4.701534301934428584e+01,1.327094254086239289e+03,7.435968942023404304e-01,1.030231735712116325e+01,1.000000000000000000e+00
4.751550624295433067e+01,1.326949825595832408e+03,7.412810164490682974e-01,1.040916763306344173e+01,1.000000000000000000e+00
4.801566946656437551e+01,1.326805408508258552e+03,7.389720271642515881e-01,1.051596551789296896e+01,1.000000000000000000e+00
4.851583269017442746e+01,1.326661001867502819e+03,7.366698916493985561e-01,1.062271116728366138e+01,1.000000000000000000e+00
4.901599591378447229e+01,1.326516605496421334e+03,7.343745877973237857e-01,1.072940473626593061e+01,1.000000000000000000e+00
4.951615913739451713e+01,1.326372219214780671e+03,7.320860935357453858e-01,1.083604637936972104e+01,1.000000000000000000e+00
5.001632236100456197e+01,1.326227842296621020e+03,7.298043782643264255e-01,1.094263625052829170e+01,1.000000000000000000e+00
5.051648558461460681e+01,1.326083474728893862e+03,7.275294227840527483e-01,1.104917450311076976e+01,1.000000000000000000e+00
5.101664880822465165e+01,1.325939115963638642e+03,7.252611995557652902e-01,1.115566128995682504e+01,1.000000000000000000e+00
5.151681203183469648e+01,1.325794765520258807e+03,7.229996822437509962e-01,1.126209676329582621e+01,1.000000000000000000e+00
5.201697525544474132e+01,1.325650423443897125e+03,7.207448528497414353e-01,1.136848107485492143e+01,1.000000000000000000e+00
5.251713847905478616e+01,1.325506088948038268e+03,7.184966804809826968e-01,1.147481437580741215e+01,1.000000000000000000e+00
5.301730170266483810e+01,1.325361761877268009e+03,7.162551442228297649e-01,1.158109681673972347e+01,1.000000000000000000e+00
5.351746492627488294e+01,1.325217441904588668e+03,7.140202205834378368e-01,1.168732854773523044e+01,1.000000000000000000e+00
5.401762814988492778e+01,1.325073128468578943e+03,7.117918825630659141e-01,1.179350971830533901e+01,1.000000000000000000e+00
5.451779137349497262e+01,1.324928821535261022e+03,7.095701114187735747e-01,1.189964047744327402e+01,1.000000000000000000e+00
5.501795459710501746e+01,1.324784520480980291e+03,7.073548794214374880e-01,1.200572097361581925e+01,1.000000000000000000e+00
5.551811782071506229e+01,1.324640225028016857e+03,7.051461642873012581e-01,1.211175135472320363e+01,1.000000000000000000e+00
5.601828104432510713e+01,1.324495934933343051e+03,7.029439443569325263e-01,1.221773176816786410e+01,1.000000000000000000e+00
5.651844426793515197e+01,1.324351649649115416e+03,7.007481934279231606e-01,1.232366236081005084e+01,1.000000000000000000e+00
5.701860749154519681e+01,1.324207369042561822e+03,6.985588917294043299e-01,1.242954327898922351e+01,1.000000000000000000e+00
5.751877071515524875e+01,1.324063092616163431e+03,6.963760140485515393e-01,1.253537466853526006e+01,1.000000000000000000e+00
5.801893393876529359e+01,1.323918820044195172e+03,6.941995378928085270e-01,1.264115667473762450e+01,1.000000000000000000e+00
5.851909716237533843e+01,1.323774551079198773e+03,6.920294420467741903e-01,1.274688944239065336e+01,1.000000000000000000e+00
5.901926038598538327e+01,1.323630285233172572e+03,6.898657017799925129e-01,1.285257311576819994e+01,1.000000000000000000e+00
5.951942360959542810e+01,1.323486022302439096e+03,6.877082967367238453e-01,1.295820783863337766e+01,1.000000000000000000e+00
6.001958683320547294e+01,1.323341761855264394e+03,6.855572032444583463e-01,1.306379375425053979e+01,1.000000000000000000e+00
6.051975005681551778e+01,1.323197503568610955e+03,6.834123993624509064e-01,1.316933100536732759e+01,1.000000000000000000e+00
6.101991328042556262e+01,1.323053247149296567e+03,6.812738636905500966e-01,1.327481973424041151e+01,1.000000000000000000e+00
6.152007650403560746e+01,1.322908992191795960e+03,6.791415732634784597e-01,1.338026008262388267e+01,1.000000000000000000e+00
6.202023972764565940e+01,1.322764738426421218e+03,6.770155072269660179e-01,1.348565219177544172e+01,1.000000000000000000e+00
6.252040295125570424e+01,1.322620485473059944e+03,6.748956431944365120e-01,1.359099620246294648e+01,1.000000000000000000e+00
6.302056617486574908e+01,1.322476233016167726e+03,6.727819598305517790e-01,1.369629225495897096e+01,1.000000000000000000e+00
